sample_id,image_path,noisy_title
1,C:\Users\divan\Downloads\dataset\1.png,easy noodly throw together
2,C:\Users\divan\Downloads\dataset\2.png,messy meat bun deal
3,C:\Users\divan\Downloads\dataset\3.png,top-tier veggie feta chaos
4,C:\Users\divan\Downloads\dataset\4.png,lazy sizzling cow-broccoli thing
5,C:\Users\divan\Downloads\dataset\5.png,layered cheesy noodly brick
6,C:\Users\divan\Downloads\dataset\6.png,wrap of spinning moo strips
7,C:\Users\divan\Downloads\dataset\7.png,eggy ricey birdy wok mix
8,C:\Users\divan\Downloads\dataset\8.png,legendary noods from jo mama
9,C:\Users\divan\Downloads\dataset\9.png,oven’d gobbler loaf
10,C:\Users\divan\Downloads\dataset\10.png,spicy fiesta rice chaos
11,C:\Users\divan\Downloads\dataset\11.png,cheesy loaf bites of pizza dreams
12,C:\Users\divan\Downloads\dataset\12.png,pan-made fishy bake
13,C:\Users\divan\Downloads\dataset\13.png,ideal cow chunk roast-a-thon
14,C:\Users\divan\Downloads\dataset\14.png,mom-style soy birdy bites
15,C:\Users\divan\Downloads\dataset\15.png,fluffy golden twisty bread
